"Sample","Library_Size"
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105556.SRR38105556",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105557.SRR38105557",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105558.SRR38105558",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105559.SRR38105559",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105560.SRR38105560",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105561.SRR38105561",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105562.SRR38105562",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105563.SRR38105563",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105566.SRR38105566",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105567.SRR38105567",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105568.SRR38105568",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105570.SRR38105570",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105572.SRR38105572",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105573.SRR38105573",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105574.SRR38105574",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105575.SRR38105575",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105582.SRR38105582",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105585.SRR38105585",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105586.SRR38105586",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105588.SRR38105588",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105589.SRR38105589",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105591.SRR38105591",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105594.SRR38105594",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105597.SRR38105597",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105603.SRR38105603",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105604.SRR38105604",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105622.SRR38105622",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105633.SRR38105633",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105634.SRR38105634",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105635.SRR38105635",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105636.SRR38105636",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105640.SRR38105640",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105641.SRR38105641",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105643.SRR38105643",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105644.SRR38105644",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105645.SRR38105645",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105647.SRR38105647",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105649.SRR38105649",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105652.SRR38105652",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105653.SRR38105653",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105656.SRR38105656",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105657.SRR38105657",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105660.SRR38105660",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105661.SRR38105661",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105665.SRR38105665",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105690.SRR38105690",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105694.SRR38105694",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105697.SRR38105697",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105698.SRR38105698",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105699.SRR38105699",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105700.SRR38105700",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105701.SRR38105701",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105702.SRR38105702",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105704.SRR38105704",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105705.SRR38105705",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105706.SRR38105706",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105707.SRR38105707",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105708.SRR38105708",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105711.SRR38105711",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105713.SRR38105713",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105715.SRR38105715",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105730.SRR38105730",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105731.SRR38105731",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105732.SRR38105732",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105733.SRR38105733",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105734.SRR38105734",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105735.SRR38105735",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105737.SRR38105737",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105738.SRR38105738",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105739.SRR38105739",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105741.SRR38105741",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105742.SRR38105742",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105752.SRR38105752",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105756.SRR38105756",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105757.SRR38105757",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105758.SRR38105758",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105767.SRR38105767",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105797.SRR38105797",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105802.SRR38105802",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105803.SRR38105803",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105804.SRR38105804",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105809.SRR38105809",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105812.SRR38105812",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105813.SRR38105813",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105815.SRR38105815",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105818.SRR38105818",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105819.SRR38105819",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105842.SRR38105842",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105843.SRR38105843",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105848.SRR38105848",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105853.SRR38105853",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105855.SRR38105855",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105858.SRR38105858",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105861.SRR38105861",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105864.SRR38105864",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105866.SRR38105866",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105868.SRR38105868",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105886.SRR38105886",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105889.SRR38105889",0
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105564.SRR38105564",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105596.SRR38105596",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105642.SRR38105642",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105658.SRR38105658",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105674.SRR38105674",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105710.SRR38105710",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105712.SRR38105712",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105716.SRR38105716",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105727.SRR38105727",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105759.SRR38105759",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105850.SRR38105850",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105852.SRR38105852",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105857.SRR38105857",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105862.SRR38105862",1
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105600.SRR38105600",2
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105648.SRR38105648",2
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105672.SRR38105672",2
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105693.SRR38105693",2
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105798.SRR38105798",2
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105799.SRR38105799",2
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105854.SRR38105854",2
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105584.SRR38105584",3
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105611.SRR38105611",3
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105856.SRR38105856",4
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105565.SRR38105565",5
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105673.SRR38105673",5
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105810.SRR38105810",5
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105816.SRR38105816",5
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105793.SRR38105793",6
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105814.SRR38105814",6
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105753.SRR38105753",7
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105553.SRR38105553",8
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105599.SRR38105599",8
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105849.SRR38105849",8
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105601.SRR38105601",9
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105602.SRR38105602",9
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105664.SRR38105664",9
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105844.SRR38105844",10
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105847.SRR38105847",12
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105879.SRR38105879",17
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105666.SRR38105666",18
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105671.SRR38105671",18
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105668.SRR38105668",19
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105884.SRR38105884",20
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105688.SRR38105688",21
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105598.SRR38105598",23
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105736.SRR38105736",24
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105576.SRR38105576",25
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105680.SRR38105680",28
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105686.SRR38105686",30
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105681.SRR38105681",31
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105687.SRR38105687",31
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105805.SRR38105805",35
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105675.SRR38105675",42
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105691.SRR38105691",43
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105845.SRR38105845",49
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105846.SRR38105846",53
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105867.SRR38105867",54
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105851.SRR38105851",59
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105826.SRR38105826",65
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105786.SRR38105786",66
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105618.SRR38105618",71
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105714.SRR38105714",74
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105754.SRR38105754",76
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105654.SRR38105654",80
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105659.SRR38105659",81
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105890.SRR38105890",87
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105835.SRR38105835",105
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105894.SRR38105894",125
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105670.SRR38105670",137
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105595.SRR38105595",177
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105789.SRR38105789",234
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105722.SRR38105722",243
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105577.SRR38105577",244
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105679.SRR38105679",250
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105609.SRR38105609",297
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105616.SRR38105616",324
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105627.SRR38105627",440
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105578.SRR38105578",445
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105893.SRR38105893",524
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105839.SRR38105839",544
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105770.SRR38105770",574
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105876.SRR38105876",578
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105628.SRR38105628",579
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105790.SRR38105790",684
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105792.SRR38105792",705
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105764.SRR38105764",763
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105605.SRR38105605",797
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105895.SRR38105895",797
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105612.SRR38105612",878
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105830.SRR38105830",890
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105829.SRR38105829",895
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105834.SRR38105834",916
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105678.SRR38105678",945
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105831.SRR38105831",1014
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105785.SRR38105785",1086
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105662.SRR38105662",1156
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105778.SRR38105778",1186
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105631.SRR38105631",1277
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105787.SRR38105787",1311
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105771.SRR38105771",1343
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105613.SRR38105613",1636
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105795.SRR38105795",1962
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105626.SRR38105626",2060
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105773.SRR38105773",2062
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105794.SRR38105794",2091
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105555.SRR38105555",2154
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105888.SRR38105888",2162
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105897.SRR38105897",2203
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105822.SRR38105822",2223
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105823.SRR38105823",2249
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105820.SRR38105820",2261
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105669.SRR38105669",2296
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105606.SRR38105606",2567
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105808.SRR38105808",2686
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105587.SRR38105587",2689
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105639.SRR38105639",2699
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105825.SRR38105825",3162
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105873.SRR38105873",3329
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105777.SRR38105777",3330
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105632.SRR38105632",3928
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105872.SRR38105872",4089
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105619.SRR38105619",4147
"X.users.PWSU0516.mufakiransari.ebola_class_project.aligned.SRR38105676.SRR38105676",4176
