study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	biosample	bioproject	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952732	RA0449_PBMC-D3	RA0449_PBMC-D3	9544	Macaca mulatta	GSM7064188_RA0449-D003_S105_L002	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791975		SAMN33440232	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	24025540	2365751097	SRR38105542	24025540	7231687540
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952731	RA1803_WholeBlood-D6	RA1803_WholeBlood-D6	9544	Macaca mulatta	GSM7064187_A0375_S50_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791974		SAMN33440233	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	25450032	2536553072	SRR38105543	25450032	7660459632
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952730	RA1803_WholeBlood-D4	RA1803_WholeBlood-D4	9544	Macaca mulatta	GSM7064186_A0374_S51_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791972		SAMN33440234	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	30357593	3034976934	SRR38105544	30357593	9137635493
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952729	RA1803_WholeBlood-D2	RA1803_WholeBlood-D2	9544	Macaca mulatta	GSM7064185_A0373_S52_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791971		SAMN33440235	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	26184517	2630202753	SRR38105545	26184517	7881539617
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952728	RA1803_WholeBlood-BL	RA1803_WholeBlood-BL	9544	Macaca mulatta	GSM7064184_A0372_S53_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791968		SAMN33440236	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	28706976	2863481783	SRR38105546	28706976	8640799776
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952727	RA1803_WholeBlood-BL	RA1803_WholeBlood-BL	9544	Macaca mulatta	GSM7064183_A0371_S54_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791978		SAMN33440237	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	28554877	2861456579	SRR38105547	28554877	8595017977
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952726	RA1325_WholeBlood-D6	RA1325_WholeBlood-D6	9544	Macaca mulatta	GSM7064182_A0370_S55_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791970		SAMN33440238	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	27125817	2711551824	SRR38105548	27125817	8164870917
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952725	RA1325_WholeBlood-D4	RA1325_WholeBlood-D4	9544	Macaca mulatta	GSM7064181_A0369_S56_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791967		SAMN33440239	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	22249120	2210036091	SRR38105549	22249120	6696985120
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952724	RA1325_WholeBlood-D2	RA1325_WholeBlood-D2	9544	Macaca mulatta	GSM7064180_A0368_S57_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791969		SAMN33440240	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	27749048	2769424795	SRR38105550	27749048	8352463448
SRP691911	Viral and host RNA dynamics in tissues from lethal Ebola virus disease in rhesus monkeys	SRX32952723	RA1325_WholeBlood-BL	RA1325_WholeBlood-BL	9544	Macaca mulatta	GSM7064179_A0367_S58_L001	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	SRS28791966		SAMN33440241	PRJNA938511	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	28474233	2840115386	SRR38105551	28474233	8570744133
